Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
0,0.000000,0,0,0,0,0
1,0.001452,0,0,0,0,0
2,0.002430,0,0,0,0,0
3,0.003594,1.07824171,1.09468639,0,0,0
4,0.004618,1.2023443,1.09439766,0,0,0
5,0.005413,0.442417562,1.09384298,0,0,0
6,0.006415,1.10564101,1.09325719,0,0,0
7,0.007417,1.33531129,1.09215701,0,0,0
8,0.008447,1.33531129,1.09215701,0,0,0
9,0.009412,1.06454206,1.08929336,0,0,0
10,0.010419,0.778461516,1.08758342,0,0,0
11,0.011414,0.598754585,1.08555949,0,0,0
12,0.012412,1.4263736,1.08346748,0,0,0
13,0.013415,1.46021974,1.0810883,0,0,0
14,0.014413,1.37641025,1.07854474,0,0,0
15,0.015416,1.69714284,1.07854474,0,0,0
16,0.016417,1.69714284,1.07374179,0,0,0
17,0.017419,0.43194139,1.07137918,0,0,0
18,0.018523,0.760732591,1.06884527,0,0,0
19,0.019413,1.49567759,1.06645226,0,0,0
20,0.020420,0.451282054,1.06379211,0,0,0
21,0.021414,0.657582402,1.06074595,0,0,0
22,0.022413,1.52952373,1.05770814,0,0,0
23,0.023415,1.52952373,1.05770814,0,0,0
24,0.024414,0.485934049,1.05179429,0,0,0
25,0.025416,0.63018316,1.04905725,0,0,0
26,0.026418,1.56578755,1.04597116,0,0,0
27,0.027420,1.4884249,1.04290473,0,0,0
28,0.028516,1.17252743,1.03998613,0,0,0
29,0.029413,0.816336989,1.03754365,0,0,0
30,0.030419,0.488351643,1.03523588,0,0,0
31,0.031412,0.488351643,1.03523588,0,0,0
32,0.032418,1.47714281,1.03108299,0,0,0
33,0.033420,1.11692309,1.0295167,0,0,0
34,0.034418,1.15882778,1.028175,0,0,0
35,0.035420,1.72937727,1.02730834,0,0,0
36,0.036413,0.544761896,1.02658296,0,0,0
37,0.037414,0.41663003,1.02584314,0,0,0
